ticker,sector
AAPL,Technology Hardware
ADBE,Software/SaaS
ADSK,Software/SaaS
ALAB,Semiconductors
ALKS,Health Care
AMGN,Health Care
AMD,Semiconductors
AMZN,E-Commerce/Cloud
AVGO,Semiconductors
AVXL,Health Care
AAL,Airlines/Transport
AZO,Consumer Discretionary
AXTI,Semiconductors
BABA,E-Commerce/Cloud
BHC,Health Care
BFLY,Health Care
BR,Industrial Software
CAH,Health Care
CCCC,Health Care
CHTR,Communication Services
CHWY,Consumer Discretionary
CMCL,Gold Miners
CRDO,Semiconductors
CSGP,Software/SaaS
CVLT,Software/SaaS
CXM,Software/SaaS
DGX,Health Care
DPZ,Consumer Staples
DRD,Gold Miners
EGAN,Software/SaaS
EVI,Industrials
EZJ.L,Airlines/Transport
G,Business Services
GD,Industrials/Defense
HUM,Health Care
INTU,Software/SaaS
JNJ,Health Care
LDOS,Industrials/Defense
LI,Automotive/EV
LULU,Consumer Discretionary
LMT,Industrials/Defense
MCD,Consumer Staples
META,Communication Services
MSFT,Software/SaaS
NOC,Industrials/Defense
NOW,Software/SaaS
NTDOY,Entertainment/Gaming
ORCL,Software/SaaS
PETS,Health Care
PLTR,Software/SaaS
POST,Consumer Staples
PTC,Software/SaaS
PLUG,Clean Energy
PYPL,Financial Services
RACE,Automotive
RDDT,Communication Services
RL,Consumer Discretionary
RYCEY,Industrials/Defense
RYAAY,Airlines/Transport
SDGR,Software/SaaS
SNDK,Semiconductors
SPCX,Aerospace/Defense
STLA,Automotive
TSCO,Consumer Discretionary
TM,Automotive
V,Financial Services
VKTX,Health Care
VFF,Consumer Discretionary
WDAY,Software/SaaS
ZBH,Health Care
AGC,Emerging Markets
