sector,state,updated
Aerospace/Defense,Leading,2026-08-15
Airlines/Transport,Lagging,2026-08-15
Automotive,Weakening,2026-08-15
Automotive/EV,Improving,2026-08-15
Business Services,Holding,2026-08-15
Clean Energy,Lagging,2026-08-15
Communication Services,Leading,2026-08-15
Consumer Discretionary,Weakening,2026-08-15
Consumer Staples,Holding,2026-08-15
E-Commerce/Cloud,Leading,2026-08-15
Emerging Markets,Holding,2026-08-15
Entertainment/Gaming,Improving,2026-08-15
Financial Services,Leading,2026-08-15
Gold Miners,Lagging,2026-08-15
Health Care,Leading,2026-08-15
Industrials,Improving,2026-08-15
Industrials/Defense,Leading,2026-08-15
Industrial Software,Leading,2026-08-15
Semiconductors,Weakening,2026-08-15
Software/SaaS,Leading,2026-08-15
Technology Hardware,Leading,2026-08-15
